Component,Filename,File Format,HTAN Parent Data File ID,HTAN Data File ID,Data Category,Matrix Type,Linked Matrices,Cell Median Number Reads,Cell Median Number Genes,Cell Total,scRNAseq Workflow Type,scRNAseq Workflow Parameters Description,Workflow Link,Workflow Version,entityId,Id,Workflow End Datetime,Workflow Start Datetime
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3906as2.csv,csv,HTA11_104_200000101112111,HTA11_104_200000101113111,Gene Expression Quantification,Raw Counts,,11333.0,3005.0,85,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521733,ce2ff2b6-7743-45bf-904b-933162dd2631,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3906as3.csv,csv,HTA11_104_200000201112111,HTA11_104_200000201113111,Gene Expression Quantification,Raw Counts,,8818.5,2835.5,1236,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521735,ce26f6f9-ec86-466c-920a-29542ca0d1a4,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3906as4.csv,csv,HTA11_104_200000202112111,HTA11_104_200000202113111,Gene Expression Quantification,Raw Counts,,6473.0,2126.0,443,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521736,691f2840-6253-4075-ad43-ac8b92c207c2,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3909as1.csv,csv,HTA11_411_200000101112111,HTA11_411_200000101113111,Gene Expression Quantification,Raw Counts,,10831.0,3111.5,1386,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521737,b87af2df-eeb7-49ee-93ce-72fd24313712,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3909as2.csv,csv,HTA11_411_200000201112111,HTA11_411_200000201113111,Gene Expression Quantification,Raw Counts,,10745.0,2993.0,813,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521738,c68d80f6-883a-4aa5-a66b-3510492a42f2,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3909as3.csv,csv,HTA11_411_200000202112111,HTA11_411_200000202113111,Gene Expression Quantification,Raw Counts,,7828.5,2447.5,2600,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521739,55ac567d-b9f3-4556-a890-c495a4b20d11,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3909as4.csv,csv,HTA11_377_200000101112111,HTA11_377_200000101113111,Gene Expression Quantification,Raw Counts,,10243.0,2892.0,783,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521740,df5070e3-b331-4146-9333-b527ab20d19f,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as1.csv,csv,HTA11_392_300001101112111,HTA11_392_300001101113111,Gene Expression Quantification,Raw Counts,,12715.0,3563.0,324,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521741,d441d060-d3a1-4ede-98bb-123772976723,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as16.csv,csv,HTA11_696_200000101112111,HTA11_696_200000101113111,Gene Expression Quantification,Raw Counts,,10505.0,2653.0,1953,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521742,f2fa25c8-8d1e-43a6-bd16-bd56b59dde09,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as17.csv,csv,HTA11_696_200000201112211,HTA11_696_200000201113211,Gene Expression Quantification,Raw Counts,,13886.0,3494.0,1645,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521743,f4364303-e24b-4265-a329-6ce23c14986e,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as18.csv,csv,HTA11_696_200000202112211,HTA11_696_200000202113211,Gene Expression Quantification,Raw Counts,,12378.0,3202.0,1228,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521744,a3d1856d-7846-48c4-a216-0b2dac430891,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as19.csv,csv,HTA11_866_200000101112111,HTA11_866_200000101113111,Gene Expression Quantification,Raw Counts,,6675.0,2393.0,1427,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521745,9d0097ba-d5ac-4214-b5ff-9eb5ffb8bc45,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as2.csv,csv,HTA11_392_300001201112111,HTA11_392_300001201113111,Gene Expression Quantification,Raw Counts,,10871.5,3287.0,802,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521746,f0206860-7943-4e29-8bf7-58785a59b574,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as20.csv,csv,HTA11_1391_200000101112111,HTA11_1391_200000101113111,Gene Expression Quantification,Raw Counts,,9149.5,2907.0,544,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521747,f960ba92-82b7-4af2-b1f7-7cc0a86c3fbd,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as3.csv,csv,HTA11_546_200000101112111,HTA11_546_200000101113111,Gene Expression Quantification,Raw Counts,,6841.0,2218.0,1228,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521748,f1179314-f873-442b-aeac-3452dadac9c2,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as4.csv,csv,HTA11_546_200000201112111,HTA11_546_200000201113111,Gene Expression Quantification,Raw Counts,,11405.5,2873.5,994,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521749,94ccabaa-fdf0-47c0-a740-fed7f912ea83,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/3927as5.csv,csv,HTA11_546_200000202112111,HTA11_546_200000202113111,Gene Expression Quantification,Raw Counts,,15162.5,3907.5,842,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521750,cac271b0-4ad8-4d3b-8f32-6fc72fcefded,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4103as1.csv,csv,HTA11_2487_200000101112111,HTA11_2487_200000101113111,Gene Expression Quantification,Raw Counts,,9354.0,2086.0,2111,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521751,91b0b364-1213-4c11-a0e1-52f380a1a478,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4103as2.csv,csv,HTA11_2487_200000201112111,HTA11_2487_200000201113111,Gene Expression Quantification,Raw Counts,,5933.0,1598.0,631,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521752,61e5b744-be6d-4b18-82c4-30061fe35a19,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4103as3.csv,csv,HTA11_2487_200000101112211,HTA11_2487_200000101113211,Gene Expression Quantification,Raw Counts,,9947.5,2400.0,920,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521753,13f0e9de-2f67-4c00-b576-e1de21287297,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4240as1.csv,csv,HTA11_2992_200000101112111,HTA11_2992_200000101113111,Gene Expression Quantification,Raw Counts,,10112.0,2342.0,265,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521754,ef37aa86-00ce-44d5-8450-b0e50ec08798,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as1.csv,csv,HTA11_2487_200000101112311,HTA11_2487_200000101113311,Gene Expression Quantification,Raw Counts,,8399.0,2074.0,1457,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521755,13b709f9-0369-4bc7-812d-7725999b0d30,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as10.csv,csv,HTA11_5363_200000202112111,HTA11_5363_200000202113111,Gene Expression Quantification,Raw Counts,,9286.0,1690.0,331,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521756,e08e37db-0c34-49da-9575-cde98ac4ab77,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as11.csv,csv,HTA11_5212_200000101112111,HTA11_5212_200000101113111,Gene Expression Quantification,Raw Counts,,9825.0,2010.0,535,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521757,e3ab8938-5e4b-4df6-abe6-202d57dc950e,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as12.csv,csv,HTA11_5212_200000201112111,HTA11_5212_200000201113111,Gene Expression Quantification,Raw Counts,,7928.0,1847.0,375,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521758,efa5d57b-6e9c-45f2-b56f-7c24795ff1da,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as13.csv,csv,HTA11_5216_200000101112111,HTA11_5216_200000101113111,Gene Expression Quantification,Raw Counts,,8933.5,2128.0,498,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521759,bb704a75-16e2-4dbb-a04b-328268a1db15,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as14.csv,csv,HTA11_5216_200000201112111,HTA11_5216_200000201113111,Gene Expression Quantification,Raw Counts,,9189.0,2058.5,630,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521760,7fc8dab5-e81f-4b10-b11f-15819c1a29ab,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as15.csv,csv,HTA11_5216_200000202112111,HTA11_5216_200000202113111,Gene Expression Quantification,Raw Counts,,7588.0,2039.0,1111,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521761,af0664bf-34b5-41dd-bd7e-6041bda2c8a8,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as17.csv,csv,HTA11_3252_200000201112111,HTA11_3252_200000201113111,Gene Expression Quantification,Raw Counts,,9325.0,2332.0,579,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521762,80cd4676-0727-48a8-82e6-0e53f86eacbf,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as18.csv,csv,HTA11_3252_200000202112111,HTA11_3252_200000202113111,Gene Expression Quantification,Raw Counts,,8723.0,2298.0,682,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521763,38631623-d3fc-442c-b942-f70f5d5c673f,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as2.csv,csv,HTA11_2487_200000101112411,HTA11_2487_200000101113411,Gene Expression Quantification,Raw Counts,,10219.0,2333.0,985,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521764,5a2b9a55-3a1a-4b47-ad86-660a91042b1e,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as20.csv,csv,HTA11_3361_200000101112111,HTA11_3361_200000101113111,Gene Expression Quantification,Raw Counts,,7132.0,1905.0,579,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521765,56860a9a-ac76-4ef4-bfe6-76085d0a6ece,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as21.csv,csv,HTA11_3361_200000101112211,HTA11_3361_200000101113211,Gene Expression Quantification,Raw Counts,,4491.0,1453.0,873,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521766,28ee78d1-d006-4074-997c-0a312a1b9b57,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as22.csv,csv,HTA11_3361_200000101112311,HTA11_3361_200000101113311,Gene Expression Quantification,Raw Counts,,5306.0,1792.0,1894,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521767,c033c2e3-458d-4979-9a7d-6e6050e8a40b,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as23.csv,csv,HTA11_3361_200000201112111,HTA11_3361_200000201113111,Gene Expression Quantification,Raw Counts,,4737.0,1465.5,886,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521768,70f59c72-6f22-4786-9ffc-3c3457cc742c,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as24.csv,csv,HTA11_3361_200000202112111,HTA11_3361_200000202113111,Gene Expression Quantification,Raw Counts,,8832.0,2340.0,821,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521769,d3395a8a-d032-49eb-a08a-6f4a2f688429,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as25.csv,csv,HTA11_2112_200000101112111,HTA11_2112_200000101113111,Gene Expression Quantification,Raw Counts,,10660.5,2244.5,464,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521770,0e92cfe0-e38e-4956-9895-830d5a3480a3,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as26.csv,csv,HTA11_2112_200000202112111,HTA11_2112_200000202113111,Gene Expression Quantification,Raw Counts,,15756.0,2937.0,1189,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521771,8bcd008f-82f1-4009-9657-ddc0de1916b2,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as3.csv,csv,HTA11_1938_200000101112111,HTA11_1938_200000101113111,Gene Expression Quantification,Raw Counts,,11887.5,2741.0,1332,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521772,b818497f-9cf1-47ba-a985-2d3f9b140122,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as4.csv,csv,HTA11_1938_200000201112111,HTA11_1938_200000201113111,Gene Expression Quantification,Raw Counts,,9085.0,2301.0,215,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521773,a9e67c8e-82f8-4e9b-8397-298ae8960f8f,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as5.csv,csv,HTA11_3331_200000101112111,HTA11_3331_200000101113111,Gene Expression Quantification,Raw Counts,,6165.5,1749.5,654,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521774,ede8c412-262c-46f1-9027-94641d16206a,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4563as9.csv,csv,HTA11_5363_200000101112111,HTA11_5363_200000101113111,Gene Expression Quantification,Raw Counts,,11854.0,2470.5,306,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521778,4a551568-5bda-491b-b0a1-685fe32d6dd7,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as10.csv,csv,HTA11_2235_200000202112111,HTA11_2235_200000202113111,Gene Expression Quantification,Raw Counts,,8444.0,2104.0,784,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521779,0a1c92b2-2326-47b4-a560-a0b699096d50,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as11.csv,csv,HTA11_5994_200000101112111,HTA11_5994_200000101113111,Gene Expression Quantification,Raw Counts,,7612.5,2136.5,784,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521780,fa35dcef-58fa-4182-b38d-ff12c12adf57,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as12.csv,csv,HTA11_5994_200000101112211,HTA11_5994_200000101113211,Gene Expression Quantification,Raw Counts,,6043.0,2005.0,753,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521781,030eac1b-b409-4a7e-88e0-6f207b5613eb,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as13.csv,csv,HTA11_6134_200000101112111,HTA11_6134_200000101113111,Gene Expression Quantification,Raw Counts,,10275.0,2721.0,594,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521782,79c0f044-a6fb-429b-8446-c228b75e12a9,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as14.csv,csv,HTA11_6134_200000202112111,HTA11_6134_200000202113111,Gene Expression Quantification,Raw Counts,,7923.5,1952.0,568,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521783,e966dc8b-7353-4962-88c2-afeee80e3de7,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as16.csv,csv,HTA11_6310_200000101112111,HTA11_6310_200000101113111,Gene Expression Quantification,Raw Counts,,11548.0,2555.0,504,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521784,2a0a338f-1845-41dc-bd6a-c6216e1afc8d,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as17.csv,csv,HTA11_6310_200000202112111,HTA11_6310_200000202113111,Gene Expression Quantification,Raw Counts,,10072.0,2423.0,631,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521785,265645be-d46a-40a3-9b78-0a74b29f0a29,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as18.csv,csv,HTA11_6310_200000201112111,HTA11_6310_200000201113111,Gene Expression Quantification,Raw Counts,,18666.0,2767.0,38,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521786,c3d2816a-dd3e-41c0-bf89-535039f5868b,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as19.csv,csv,HTA11_6147_200000101112111,HTA11_6147_200000101113111,Gene Expression Quantification,Raw Counts,,10079.0,2559.0,161,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521787,645fa7ce-ef50-4321-bb4e-3039cec48734,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as2.csv,csv,HTA11_3077_200000201112111,HTA11_3077_200000201113111,Gene Expression Quantification,Raw Counts,,10510.0,2313.0,1159,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521788,e1050ea1-0d14-4831-ad3a-f48c47e0d85e,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as20.csv,csv,HTA11_6147_200000202112111,HTA11_6147_200000202113111,Gene Expression Quantification,Raw Counts,,10462.0,2381.0,862,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521789,4d989f5f-a690-46f7-9a6e-ecfcf7863968,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as21.csv,csv,HTA11_6147_200000201112111,HTA11_6147_200000201113111,Gene Expression Quantification,Raw Counts,,7905.0,1930.0,569,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521790,46f34748-558a-445c-9378-27c881f0bf07,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as22.csv,csv,HTA11_2951_200000101112111,HTA11_2951_200000101113111,Gene Expression Quantification,Raw Counts,,6750.5,1746.5,886,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521791,564158ae-3c79-4b92-b6be-3e9b0194983b,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as23.csv,csv,HTA11_2951_200000201112111,HTA11_2951_200000201113111,Gene Expression Quantification,Raw Counts,,7421.5,2119.5,796,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521792,5fa32d2b-a1db-410c-9d64-a3d9a7b78a6d,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as24.csv,csv,HTA11_2951_200000202112111,HTA11_2951_200000202113111,Gene Expression Quantification,Raw Counts,,6721.0,2144.0,997,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521793,4f1db522-6567-4afc-af67-66c790e6bd43,0/0/0000,0/0/0000
ScRNA-seqLevel3,single_cell_RNAseq_level_3/4814as3.csv,csv,HTA11_3410_200000101112111,HTA11_3410_200000101113111,Gene Expression Quantification,Raw Counts,,4931.0,1524.0,1701,Other,"dropkick and QCPipe, default parameters",https://github.com/KenLauLab/STAR_Protocol,"1.2.2, 1.0.0",syn23521794,80d73a2d-e760-4cab-9923-02765888a15f,0/0/0000,0/0/0000
